artist_id,name,artist_popularity,followers,genres
4mGnpjhqgx4RUdsIJiURdo,Juliano Cezar,44,23230,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']"
1dLnVku4VQUOLswwDFvRc9,The Grenadines,22,313,[]
6YVY310fjfUzKi8hiqR7iK,Gangway,26,1596,['danish pop rock']
2VElyouiCfoYPDJluzwJwK,FADES,31,149,['uk alternative pop']
4agVy03qW8juSysCTUOuDI,Jean-Pierre Guignon,21,11,['french baroque']
38VBjthd0szbS6wpDMafrb,Filhos,43,81,[]
36mHwYa65L0WZbAXY2iSGw,Eloq,34,8358,[]
1jJyy00XfxjB4tMAv5OT0q,Fravær,7,158,[]
10A8WbBJ0zW8MnvTsUL6os,Camille Pépin,21,30,[]
5ijoPCUhV0dW8EJ7aPGvXK,Pepe Willberg & The Paradise,25,992,['classic finnish pop']
7dUWZW268V8qlsGxBojhWx,Marie Bergman & Lasse Englund,4,44,[]
0ozdcqmICsOZDe7eJQVzrp,Rick & Renner,53,373085,"['pagode', 'sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']"
0GUBxLwTer6gJZcLNwRjLj,Fiona McGown,21,1,[]
60uB6JvZMMLXgSbD70ExeO,Silhuetit,11,115,[]
4uQXIJKWCNEGuauecNDFCT,Pligten Kalder,16,498,[]
2zYNTwc8lCUzPueFdmh8ta,BAER,43,1029,[]
6m099EAiKxVRkm2Go2XvRS,Ensemble Polygones,21,3,[]
4sH7SLGP6BLOYDtcP6Lm47,P.O.S,46,30344,['abstract hip hop']
0wWNGmLoY3KEPBmaZ36EBu,Milionário & Marciano,41,24922,"['sertanejo', 'sertanejo tradicional']"
69APTdcqAgiLyRm7kqvRCX,Lydia Liza,34,644,[]
3UpH11IocErqqk2szedYf5,Alain Meunier,22,48,['classical cello']
0FnRDFBAHFbthcoIt3jjoD,Hard_R,26,37,[]
7HUHsmvWREkN4l179tvpBe,Chrystian & Ralf,52,250846,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
00rUMQMxPbr7jT7EBcs7sl,Agnaldo Timoteo,42,17361,"['brega', 'sertanejo tradicional', 'velha guarda']"
5Fxm01Q3h4d0JsKnVHnawz,Outr3ach,40,946,[]
6CJCoqivxcdr8zlVeSsoH8,Reiko Tsuiki,21,0,[]
6PWRJs1FosHp8Cqx0Nmswj,Astronautalis,44,29230,"['abstract hip hop', 'experimental hip hop', 'underground rap']"
0QlLoZNKC35p4rWMyo3sEk,Eric Mayson,30,436,['minneapolis indie']
0NXQFDQVqS7ffqT8yLKUAM,Kathleen Hanna,26,1504,['riot grrrl']
5YjfNaHq05WrwldRe1QSBc,Brandon Mints,18,118,[]
1y1QBVelGjWim8xAsRtQIr,Nicholas L. Perez,26,6,[]
5WMmQuQNYBIJ3HVrKFKaPg,Sad13,25,2972,[]
0p6NrdHl8dQQALGIqVcrjt,Sophia Eris,30,910,['minneapolis indie']
5UoVLCWzOKMIJ9iioof9OD,CeCe Peniston,53,39458,"['diva house', 'hip house', 'urban contemporary', 'vocal house']"
33tSbtkaIaGVn4Nu6ZREmo,Dave Waite,20,402,['deep comedy']
5AgD3j3o11HOx2sRYquHW1,Railroad,3,39,[]
4iLWP710maGNfMnfChDLLA,Michael Palascak,21,543,[]
76GimhwWuzMJIsIPfpYw7c,Rhod Gilbert,33,3659,['british comedy']
5Og6MsfuDPnFYd1asgHXdH,Vorso,30,2709,['deep dnb']
6wPKkOyTQnsgQDHIUwYW9W,Mike Armstrong,17,1006,[]
4SK9OzAA0K00NVsXAApeUJ,Queen Machine,16,695,[]
4lYbjTstZe5eEx1OXknkh8,Josh Gondelman,17,584,[]
1iZIgKdk4aQdTSupTIcRSQ,glasscat,34,181,[]
